stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,mask1,mask2,mask3,mask4
images/id017_v1_fm.jpg,images/id022_v1_fm.jpg,images/id015_v1_fm.jpg,images/id027_v1_fm.jpg,images/id011_v1_fm.jpg,0,4,fm,y,scrambles/id028_v1_fm.jpg,scrambles/id015_v1_fm.jpg,scrambles/id028_v1_fm.jpg,scrambles/id074_v1_si.jpg
images/id010_v1_fm.jpg,scrambles/id003_v1_fm.jpg,scrambles/id028_v1_fm.jpg,scrambles/id027_v1_fm.jpg,images/id030_v1_fm.jpg,0,1,fm,y,scrambles/id139_v1_so.jpg,scrambles/id078_v1_si.jpg,scrambles/id039_v1_ff.jpg,scrambles/id028_v1_fm.jpg
images/id087_v1_si.jpg,images/id086_v1_si.jpg,images/id104_v1_si.jpg,images/id088_v1_si.jpg,images/id096_v1_si.jpg,0,4,si,y,scrambles/id108_v1_so.jpg,scrambles/id058_v1_ff.jpg,scrambles/id045_v1_ff.jpg,scrambles/id078_v1_si.jpg
images/id135_v1_so.jpg,scrambles/id108_v1_so.jpg,scrambles/id139_v1_so.jpg,scrambles/id135_v1_so.jpg,images/id135_v1_so.jpg,1,1,so,b,scrambles/id139_v1_so.jpg,scrambles/id030_v1_fm.jpg,scrambles/id074_v1_si.jpg,scrambles/id003_v1_fm.jpg
images/id053_v1_ff.jpg,images/id038_v1_ff.jpg,images/id064_v1_ff.jpg,images/id070_v1_ff.jpg,images/id038_v1_ff.jpg,1,4,ff,b,scrambles/id058_v1_ff.jpg,scrambles/id045_v1_ff.jpg,scrambles/id015_v1_fm.jpg,scrambles/id003_v1_fm.jpg
scrambles/id038_v1_ff.jpg,scrambles/id045_v1_ff.jpg,images/id039_v1_ff.jpg,scrambles/id049_v1_ff.jpg,images/id039_v1_ff.jpg,1,1,ff,b,scrambles/id078_v1_si.jpg,scrambles/id109_v1_so.jpg,scrambles/id045_v1_ff.jpg,scrambles/id058_v1_ff.jpg
scrambles/id030_v1_fm.jpg,images/id033_v1_fm.jpg,scrambles/id015_v1_fm.jpg,scrambles/id022_v1_fm.jpg,images/id033_v1_fm.jpg,1,1,fm,b,scrambles/id039_v1_ff.jpg,scrambles/id086_v1_si.jpg,scrambles/id058_v1_ff.jpg,scrambles/id039_v1_ff.jpg
images/id129_v1_so.jpg,images/id110_v1_so.jpg,images/id109_v1_so.jpg,images/id121_v1_so.jpg,images/id123_v1_so.jpg,0,4,so,y,scrambles/id039_v1_ff.jpg,scrambles/id039_v1_ff.jpg,scrambles/id108_v1_so.jpg,scrambles/id086_v1_si.jpg
images/id108_v1_so.jpg,images/id140_v1_so.jpg,images/id139_v1_so.jpg,images/id126_v1_so.jpg,images/id140_v1_so.jpg,1,4,so,b,scrambles/id028_v1_fm.jpg,scrambles/id108_v1_so.jpg,scrambles/id108_v1_so.jpg,scrambles/id003_v1_fm.jpg
images/id066_v1_ff.jpg,images/id049_v1_ff.jpg,images/id046_v1_ff.jpg,images/id047_v1_ff.jpg,images/id040_v1_ff.jpg,0,4,ff,y,scrambles/id086_v1_si.jpg,scrambles/id139_v1_so.jpg,scrambles/id015_v1_fm.jpg,scrambles/id086_v1_si.jpg
scrambles/id074_v1_si.jpg,scrambles/id078_v1_si.jpg,images/id074_v1_si.jpg,scrambles/id077_v1_si.jpg,images/id074_v1_si.jpg,1,1,si,b,scrambles/id028_v1_fm.jpg,scrambles/id030_v1_fm.jpg,scrambles/id086_v1_si.jpg,scrambles/id038_v1_ff.jpg
scrambles/id058_v1_ff.jpg,scrambles/id039_v1_ff.jpg,scrambles/id059_v1_ff.jpg,images/id069_v1_ff.jpg,images/id045_v1_ff.jpg,0,1,ff,y,scrambles/id028_v1_fm.jpg,scrambles/id045_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id109_v1_so.jpg
scrambles/id086_v1_si.jpg,scrambles/id100_v1_si.jpg,scrambles/id088_v1_si.jpg,images/id078_v1_si.jpg,images/id085_v1_si.jpg,0,1,si,y,scrambles/id078_v1_si.jpg,scrambles/id045_v1_ff.jpg,scrambles/id086_v1_si.jpg,scrambles/id139_v1_so.jpg
images/id003_v1_fm.jpg,images/id007_v1_fm.jpg,images/id034_v1_fm.jpg,images/id018_v1_fm.jpg,images/id034_v1_fm.jpg,1,4,fm,b,scrambles/id028_v1_fm.jpg,scrambles/id108_v1_so.jpg,scrambles/id074_v1_si.jpg,scrambles/id086_v1_si.jpg
scrambles/id109_v1_so.jpg,images/id114_v1_so.jpg,scrambles/id121_v1_so.jpg,scrambles/id114_v1_so.jpg,images/id138_v1_so.jpg,0,1,so,y,scrambles/id038_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id003_v1_fm.jpg,scrambles/id030_v1_fm.jpg
images/id099_v1_si.jpg,images/id077_v1_si.jpg,images/id092_v1_si.jpg,images/id100_v1_si.jpg,images/id077_v1_si.jpg,1,4,si,b,scrambles/id108_v1_so.jpg,scrambles/id058_v1_ff.jpg,scrambles/id108_v1_so.jpg,scrambles/id039_v1_ff.jpg
