stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,mask1,mask2,mask3,mask4
scrambles/id083_v1_si.jpg,scrambles/id101_v1_si.jpg,images/id103_v1_si.jpg,scrambles/id075_v1_si.jpg,images/id073_v1_si.jpg,0,1,si,y,scrambles/id059_v1_ff.jpg,scrambles/id055_v1_ff.jpg,scrambles/id083_v1_si.jpg,scrambles/id048_v1_ff.jpg
images/id133_v1_so.jpg,images/id123_v1_so.jpg,images/id140_v1_so.jpg,images/id125_v1_so.jpg,images/id133_v1_so.jpg,1,4,so,b,scrambles/id048_v1_ff.jpg,scrambles/id048_v1_ff.jpg,scrambles/id048_v1_ff.jpg,scrambles/id080_v1_si.jpg
images/id058_v1_ff.jpg,images/id043_v1_ff.jpg,images/id064_v1_ff.jpg,images/id052_v1_ff.jpg,images/id062_v1_ff.jpg,0,4,ff,y,scrambles/id133_v1_so.jpg,scrambles/id048_v1_ff.jpg,scrambles/id048_v1_ff.jpg,scrambles/id092_v1_si.jpg
scrambles/id080_v1_si.jpg,scrambles/id092_v1_si.jpg,scrambles/id085_v1_si.jpg,images/id092_v1_si.jpg,images/id092_v1_si.jpg,1,1,si,b,scrambles/id015_v1_fm.jpg,scrambles/id083_v1_si.jpg,scrambles/id092_v1_si.jpg,scrambles/id055_v1_ff.jpg
images/id020_v1_fm.jpg,images/id018_v1_fm.jpg,images/id030_v1_fm.jpg,images/id024_v1_fm.jpg,images/id030_v1_fm.jpg,1,4,fm,b,scrambles/id059_v1_ff.jpg,scrambles/id048_v1_ff.jpg,scrambles/id049_v1_ff.jpg,scrambles/id015_v1_fm.jpg
images/id016_v1_fm.jpg,images/id029_v1_fm.jpg,images/id031_v1_fm.jpg,images/id034_v1_fm.jpg,images/id009_v1_fm.jpg,0,4,fm,y,scrambles/id031_v1_fm.jpg,scrambles/id049_v1_ff.jpg,scrambles/id055_v1_ff.jpg,scrambles/id117_v1_so.jpg
scrambles/id138_v1_so.jpg,scrambles/id117_v1_so.jpg,images/id138_v1_so.jpg,scrambles/id118_v1_so.jpg,images/id116_v1_so.jpg,0,1,so,y,scrambles/id030_v1_fm.jpg,scrambles/id055_v1_ff.jpg,scrambles/id048_v1_ff.jpg,scrambles/id034_v1_fm.jpg
images/id004_v1_fm.jpg,scrambles/id015_v1_fm.jpg,scrambles/id011_v1_fm.jpg,scrambles/id026_v1_fm.jpg,images/id011_v1_fm.jpg,0,1,fm,y,scrambles/id092_v1_si.jpg,scrambles/id048_v1_ff.jpg,scrambles/id030_v1_fm.jpg,scrambles/id092_v1_si.jpg
scrambles/id034_v1_fm.jpg,scrambles/id030_v1_fm.jpg,scrambles/id031_v1_fm.jpg,images/id023_v1_fm.jpg,images/id023_v1_fm.jpg,1,1,fm,b,scrambles/id048_v1_ff.jpg,scrambles/id048_v1_ff.jpg,scrambles/id015_v1_fm.jpg,scrambles/id055_v1_ff.jpg
images/id040_v1_ff.jpg,images/id048_v1_ff.jpg,images/id066_v1_ff.jpg,images/id055_v1_ff.jpg,images/id055_v1_ff.jpg,1,4,ff,b,scrambles/id030_v1_fm.jpg,scrambles/id138_v1_so.jpg,scrambles/id049_v1_ff.jpg,scrambles/id048_v1_ff.jpg
scrambles/id133_v1_so.jpg,images/id118_v1_so.jpg,scrambles/id140_v1_so.jpg,scrambles/id130_v1_so.jpg,images/id118_v1_so.jpg,1,1,so,b,scrambles/id034_v1_fm.jpg,scrambles/id092_v1_si.jpg,scrambles/id048_v1_ff.jpg,scrambles/id048_v1_ff.jpg
images/id129_v1_so.jpg,images/id126_v1_so.jpg,images/id117_v1_so.jpg,images/id124_v1_so.jpg,images/id113_v1_so.jpg,0,4,so,y,scrambles/id015_v1_fm.jpg,scrambles/id048_v1_ff.jpg,scrambles/id048_v1_ff.jpg,scrambles/id080_v1_si.jpg
images/id059_v1_ff.jpg,scrambles/id049_v1_ff.jpg,scrambles/id059_v1_ff.jpg,scrambles/id062_v1_ff.jpg,images/id063_v1_ff.jpg,0,1,ff,y,scrambles/id048_v1_ff.jpg,scrambles/id080_v1_si.jpg,scrambles/id138_v1_so.jpg,scrambles/id015_v1_fm.jpg
images/id076_v1_si.jpg,images/id093_v1_si.jpg,images/id101_v1_si.jpg,images/id091_v1_si.jpg,images/id085_v1_si.jpg,0,4,si,y,scrambles/id092_v1_si.jpg,scrambles/id133_v1_so.jpg,scrambles/id055_v1_ff.jpg,scrambles/id083_v1_si.jpg
scrambles/id048_v1_ff.jpg,images/id061_v1_ff.jpg,scrambles/id055_v1_ff.jpg,scrambles/id057_v1_ff.jpg,images/id061_v1_ff.jpg,1,1,ff,b,scrambles/id080_v1_si.jpg,scrambles/id092_v1_si.jpg,scrambles/id049_v1_ff.jpg,scrambles/id133_v1_so.jpg
images/id083_v1_si.jpg,images/id080_v1_si.jpg,images/id075_v1_si.jpg,images/id081_v1_si.jpg,images/id080_v1_si.jpg,1,4,si,b,scrambles/id083_v1_si.jpg,scrambles/id049_v1_ff.jpg,scrambles/id034_v1_fm.jpg,scrambles/id083_v1_si.jpg
