stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,mask1,mask2,mask3,mask4
images/id070_v1_ff.jpg,images/id053_v1_ff.jpg,images/id061_v1_ff.jpg,images/id055_v1_ff.jpg,images/id069_v1_ff.jpg,0,4,ff,y,scrambles/id046_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id138_v1_so.jpg,scrambles/id070_v1_ff.jpg
images/id100_v1_si.jpg,scrambles/id100_v1_si.jpg,scrambles/id082_v1_si.jpg,scrambles/id084_v1_si.jpg,images/id081_v1_si.jpg,0,1,si,y,scrambles/id081_v1_si.jpg,scrambles/id111_v1_so.jpg,scrambles/id100_v1_si.jpg,scrambles/id111_v1_so.jpg
images/id123_v1_so.jpg,images/id137_v1_so.jpg,images/id107_v1_so.jpg,images/id138_v1_so.jpg,images/id123_v1_so.jpg,1,4,so,b,scrambles/id100_v1_si.jpg,scrambles/id070_v1_ff.jpg,scrambles/id070_v1_ff.jpg,scrambles/id031_v1_fm.jpg
images/id099_v1_si.jpg,images/id084_v1_si.jpg,images/id098_v1_si.jpg,images/id086_v1_si.jpg,images/id082_v1_si.jpg,0,4,si,y,scrambles/id098_v1_si.jpg,scrambles/id031_v1_fm.jpg,scrambles/id100_v1_si.jpg,scrambles/id081_v1_si.jpg
images/id111_v1_so.jpg,images/id109_v1_so.jpg,images/id118_v1_so.jpg,images/id117_v1_so.jpg,images/id130_v1_so.jpg,0,4,so,y,scrambles/id070_v1_ff.jpg,scrambles/id118_v1_so.jpg,scrambles/id046_v1_ff.jpg,scrambles/id012_v1_fm.jpg
scrambles/id138_v1_so.jpg,scrambles/id111_v1_so.jpg,scrambles/id117_v1_so.jpg,images/id120_v1_so.jpg,images/id120_v1_so.jpg,1,1,so,b,scrambles/id118_v1_so.jpg,scrambles/id111_v1_so.jpg,scrambles/id052_v1_ff.jpg,scrambles/id070_v1_ff.jpg
scrambles/id046_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id070_v1_ff.jpg,images/id057_v1_ff.jpg,images/id057_v1_ff.jpg,1,1,ff,b,scrambles/id031_v1_fm.jpg,scrambles/id111_v1_so.jpg,scrambles/id038_v1_ff.jpg,scrambles/id038_v1_ff.jpg
images/id085_v1_si.jpg,images/id074_v1_si.jpg,images/id083_v1_si.jpg,images/id102_v1_si.jpg,images/id074_v1_si.jpg,1,4,si,b,scrambles/id081_v1_si.jpg,scrambles/id100_v1_si.jpg,scrambles/id070_v1_ff.jpg,scrambles/id118_v1_so.jpg
scrambles/id012_v1_fm.jpg,images/id005_v1_fm.jpg,scrambles/id009_v1_fm.jpg,scrambles/id020_v1_fm.jpg,images/id031_v1_fm.jpg,0,1,fm,y,scrambles/id070_v1_ff.jpg,scrambles/id011_v1_fm.jpg,scrambles/id111_v1_so.jpg,scrambles/id098_v1_si.jpg
images/id008_v1_fm.jpg,images/id002_v1_fm.jpg,images/id010_v1_fm.jpg,images/id020_v1_fm.jpg,images/id011_v1_fm.jpg,0,4,fm,y,scrambles/id046_v1_ff.jpg,scrambles/id118_v1_so.jpg,scrambles/id081_v1_si.jpg,scrambles/id009_v1_fm.jpg
images/id039_v1_ff.jpg,scrambles/id052_v1_ff.jpg,scrambles/id061_v1_ff.jpg,scrambles/id039_v1_ff.jpg,images/id060_v1_ff.jpg,0,1,ff,y,scrambles/id031_v1_fm.jpg,scrambles/id098_v1_si.jpg,scrambles/id111_v1_so.jpg,scrambles/id118_v1_so.jpg
scrambles/id031_v1_fm.jpg,scrambles/id011_v1_fm.jpg,images/id014_v1_fm.jpg,scrambles/id007_v1_fm.jpg,images/id014_v1_fm.jpg,1,1,fm,b,scrambles/id011_v1_fm.jpg,scrambles/id031_v1_fm.jpg,scrambles/id138_v1_so.jpg,scrambles/id081_v1_si.jpg
scrambles/id118_v1_so.jpg,images/id119_v1_so.jpg,scrambles/id127_v1_so.jpg,scrambles/id120_v1_so.jpg,images/id127_v1_so.jpg,0,1,so,y,scrambles/id070_v1_ff.jpg,scrambles/id070_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id098_v1_si.jpg
images/id052_v1_ff.jpg,images/id037_v1_ff.jpg,images/id065_v1_ff.jpg,images/id038_v1_ff.jpg,images/id065_v1_ff.jpg,1,4,ff,b,scrambles/id070_v1_ff.jpg,scrambles/id011_v1_fm.jpg,scrambles/id012_v1_fm.jpg,scrambles/id100_v1_si.jpg
scrambles/id081_v1_si.jpg,scrambles/id098_v1_si.jpg,images/id087_v1_si.jpg,scrambles/id074_v1_si.jpg,images/id087_v1_si.jpg,1,1,si,b,scrambles/id100_v1_si.jpg,scrambles/id070_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id098_v1_si.jpg
images/id007_v1_fm.jpg,images/id033_v1_fm.jpg,images/id001_v1_fm.jpg,images/id009_v1_fm.jpg,images/id009_v1_fm.jpg,1,4,fm,b,scrambles/id012_v1_fm.jpg,scrambles/id052_v1_ff.jpg,scrambles/id081_v1_si.jpg,scrambles/id098_v1_si.jpg
