instructions,dontSkipInstructions.thisRepN,dontSkipInstructions.thisTrialN,dontSkipInstructions.thisN,dontSkipInstructions.thisIndex,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,Welcome_text.started,Welcome_text.stopped,space1.keys,space1.rt,space1.started,space1.stopped,Instruction_text.started,Instruction_text.stopped,space2.keys,space2.rt,space2.started,space2.stopped,participant,session,age,sex at birth,dominant hand,date,expName,psychopyVersion,frameRate,
On each trial your task will be to remember images that are presented to you. The images will consist of either faces or scenes and there can be either one to four images on a trial.,0,0,0,0,0,0,0,0,12.493753399990965,None,y,1.5454505000379868,12.493753399990965,None,14.176226000010502,None,y,0.3762420000275597,14.176226000010502,None,,001,,,,2021_Mar_08_2115,Working memory load,2020.2.10,60.01413932011605,
At the end of a trial you will have to indicate whether a test image presented after a short delay was part of the items that you remembered. ,0,0,0,0,0,1,1,1,,,,,,,14.616348100011237,None,b,0.08790769998449832,14.616348100011237,None,,001,,,,2021_Mar_08_2115,Working memory load,2020.2.10,60.01413932011605,
"If the test image was part of the memory images, then you have to press the left button (index finger)",0,0,0,0,0,2,2,2,,,,,,,14.75242309999885,None,b,0.24497199995676056,14.75242309999885,None,,001,,,,2021_Mar_08_2115,Working memory load,2020.2.10,60.01413932011605,
"If the image is NOT part of the memorized images, then press the right button (middle finger).",0,0,0,0,0,3,3,3,,,,,,,15.058750300027896,None,y,0.007096500019542873,15.058750300027896,None,,001,,,,2021_Mar_08_2115,Working memory load,2020.2.10,60.01413932011605,
"During the short remembering period, try to actively keep the images in your mind's eye. ",0,0,0,0,0,4,4,4,,,,,,,15.12530080002034,None,b,0.11392580001847818,15.12530080002034,None,,001,,,,2021_Mar_08_2115,Working memory load,2020.2.10,60.01413932011605,
Now we will see an example of a trial.,0,0,0,0,0,5,5,5,,,,,,,15.276543200016022,None,y,0.07799950003391132,15.276543200016022,None,,001,,,,2021_Mar_08_2115,Working memory load,2020.2.10,60.01413932011605,
